epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.525442,0.735112,0.487133,0.751094,0.248906,2543,853,740,2264,0.726339,0.753662,0.739748
1,0.502756,0.747344,0.497106,0.744375,0.255625,2386,1010,626,2378,0.701889,0.791611,0.744055
2,0.499731,0.749464,0.485223,0.753594,0.246406,2549,847,730,2274,0.728613,0.756991,0.742531
3,0.4961,0.752746,0.483207,0.755938,0.244062,2805,591,971,2033,0.774771,0.676764,0.722459
4,0.494406,0.752723,0.481294,0.758281,0.241719,2813,583,964,2040,0.777735,0.679095,0.725076
5,0.492879,0.753504,0.486202,0.760156,0.239844,2767,629,906,2098,0.769344,0.698402,0.732158
6,0.492491,0.754621,0.481764,0.75625,0.24375,2780,616,944,2060,0.769806,0.685752,0.725352
7,0.489654,0.754777,0.481374,0.758906,0.241094,2826,570,973,2031,0.780854,0.676099,0.72471
8,0.488854,0.755558,0.482925,0.758437,0.241563,2848,548,998,2006,0.785435,0.667776,0.721842
9,0.488047,0.75721,0.483979,0.763906,0.236094,2684,712,799,2205,0.755914,0.734021,0.744807
10,0.48781,0.757031,0.47924,0.766094,0.233906,2759,637,860,2144,0.770946,0.713715,0.741227
11,0.485032,0.758437,0.476305,0.766094,0.233906,2819,577,920,2084,0.783164,0.693742,0.735746
12,0.484293,0.759107,0.474609,0.772344,0.227656,2707,689,768,2236,0.764444,0.744341,0.754259
13,0.481628,0.760156,0.471173,0.769062,0.230938,2769,627,851,2153,0.77446,0.716711,0.744467
14,0.479747,0.761897,0.472252,0.766094,0.233906,2785,611,886,2118,0.776108,0.70506,0.73888
15,0.480802,0.762165,0.471648,0.774062,0.225938,2839,557,889,2115,0.791542,0.704061,0.745243
16,0.478764,0.763795,0.467673,0.771406,0.228594,2688,708,755,2249,0.760568,0.748668,0.754571
17,0.478927,0.763304,0.471617,0.770781,0.229219,2690,706,761,2243,0.760597,0.746671,0.75357
18,0.47655,0.765826,0.473646,0.771563,0.228437,2673,723,739,2265,0.758032,0.753995,0.756008
19,0.476122,0.765469,0.467539,0.771563,0.228437,2748,648,814,2190,0.77167,0.729028,0.749743
20,0.476224,0.766763,0.467971,0.769844,0.230156,2746,650,823,2181,0.770399,0.726032,0.747558
21,0.475339,0.764531,0.469706,0.772969,0.227031,2836,560,893,2111,0.790341,0.70273,0.743965
22,0.475755,0.765759,0.464778,0.771875,0.228125,2748,648,812,2192,0.771831,0.729694,0.750171
23,0.475516,0.766696,0.46487,0.774219,0.225781,2798,598,847,2157,0.78294,0.718043,0.749088
24,0.473316,0.767835,0.464774,0.772344,0.227656,2756,640,817,2187,0.773612,0.728029,0.750129
25,0.471668,0.767031,0.465778,0.773125,0.226875,2707,689,763,2241,0.764846,0.746005,0.755308
26,0.471193,0.767634,0.465685,0.772031,0.227969,2821,575,884,2120,0.786642,0.705726,0.74399
27,0.4708,0.768571,0.465293,0.773125,0.226875,2733,663,789,2215,0.769632,0.73735,0.753145
28,0.472798,0.767813,0.46431,0.774219,0.225781,2676,720,725,2279,0.75992,0.758655,0.759287
29,0.472098,0.769085,0.462994,0.775625,0.224375,2788,608,828,2176,0.781609,0.724368,0.7519
30,0.470142,0.771295,0.464014,0.775,0.225,2648,748,692,2312,0.755556,0.76964,0.762533
31,0.469562,0.770246,0.464335,0.7725,0.2275,2760,636,820,2184,0.774468,0.727031,0.75
32,0.471386,0.768594,0.462405,0.777813,0.222187,2733,663,759,2245,0.772008,0.747337,0.759472
33,0.468173,0.770871,0.465228,0.773906,0.226094,2745,651,796,2208,0.772298,0.73502,0.753198
34,0.468786,0.771696,0.463247,0.777969,0.222031,2815,581,840,2164,0.788342,0.720373,0.752827
35,0.467931,0.771652,0.465067,0.77625,0.22375,2715,681,751,2253,0.767894,0.75,0.758841
36,0.467485,0.770223,0.464142,0.776094,0.223906,2687,709,724,2280,0.762797,0.758988,0.760888
37,0.467849,0.769866,0.463765,0.7775,0.2225,2809,587,837,2167,0.786855,0.721372,0.752692
38,0.466142,0.771272,0.463535,0.774375,0.225625,2822,574,870,2134,0.788035,0.710386,0.747199
39,0.46718,0.772679,0.465562,0.77125,0.22875,2851,545,919,2085,0.792776,0.694075,0.740149
40,0.465191,0.772768,0.463285,0.773281,0.226719,2766,630,821,2183,0.77604,0.726698,0.750559
41,0.464893,0.772031,0.461899,0.77875,0.22125,2697,699,717,2287,0.765908,0.761318,0.763606
42,0.464735,0.774821,0.463416,0.780469,0.219531,2719,677,728,2276,0.770742,0.757656,0.764143
43,0.466296,0.774018,0.462926,0.779375,0.220625,2805,591,821,2183,0.78695,0.726698,0.755625
44,0.465166,0.774844,0.462024,0.777969,0.222031,2621,775,646,2358,0.752633,0.784953,0.768454
45,0.464841,0.772299,0.460566,0.778125,0.221875,2750,646,774,2230,0.775382,0.742344,0.758503
46,0.463707,0.775201,0.462022,0.777188,0.222812,2759,637,789,2215,0.776648,0.73735,0.756489
47,0.464736,0.774018,0.460868,0.780937,0.219063,2728,668,734,2270,0.772634,0.755659,0.764053
48,0.463829,0.776161,0.462645,0.777969,0.222031,2700,696,725,2279,0.76605,0.758655,0.762335
49,0.464192,0.776116,0.462973,0.784219,0.215781,2769,627,754,2250,0.782065,0.749001,0.765176
50,0.4608,0.776563,0.461393,0.7775,0.2225,2737,659,765,2239,0.772602,0.74534,0.758726
